grid,positionOrder,laps_pct,driver_age,driver_championship_position,driver_championship_wins
0.20833333333333331,0.13043478260869565,1.0,0.2193227710469089,0.15384615384615385,0.0
0.7083333333333333,0.4782608695652174,0.9821428571428572,0.6707051879465673,0.5384615384615385,0.0
0.7916666666666666,0.6521739130434783,0.9552238805970148,0.41866003934969465,0.6153846153846154,0.0
0.125,0.7391304347826086,0.0,0.3522833178005591,0.576923076923077,0.0
0.5,0.5652173913043479,0.981132075471698,0.38873356114735436,0.19230769230769232,0.0
0.16666666666666666,0.13043478260869565,1.0,0.7269338303821062,0.11538461538461539,0.0
0.25,0.13043478260869565,1.0,0.3652272962617791,0.2692307692307693,0.0
0.41666666666666663,0.26086956521739135,1.0,0.3296054675365019,0.2692307692307693,0.0
0.7083333333333333,0.6521739130434783,0.981132075471698,0.4976700838769803,0.5384615384615385,0.0
0.9583333333333333,0.7391304347826086,0.9649122807017544,0.3397535466500984,0.7307692307692308,0.0
0.29166666666666663,0.3913043478260869,1.0,0.17013565289427357,0.34615384615384615,0.0
0.7083333333333333,0.6956521739130435,0.9743589743589745,0.08025266645956297,0.576923076923077,0.0
0.5833333333333333,0.5217391304347826,0.9824561403508772,0.6511338925132029,0.46153846153846156,0.0
0.5416666666666666,0.4347826086956522,0.9857142857142858,0.6675986331158745,0.6923076923076924,0.0
0.5416666666666666,0.3913043478260869,0.9821428571428572,0.13855234544889705,0.46153846153846156,0.0
0.4583333333333333,0.30434782608695654,0.9859154929577464,0.30868799834317073,0.46153846153846156,0.0
0.125,0.17391304347826086,1.0,0.507300403852128,0.038461538461538464,0.05263157894736842
0.7083333333333333,0.30434782608695654,1.0,0.23092057574816183,0.11538461538461539,0.10526315789473684
0.7916666666666666,0.4782608695652174,1.0,0.22450036243139682,0.42307692307692313,0.0
0.7083333333333333,0.4782608695652174,1.0,0.5408511960236098,0.576923076923077,0.0
0.16666666666666666,0.0,1.0,0.5881743812778295,0.15384615384615385,0.10526315789473684
0.0,0.3913043478260869,0.9803921568627452,0.8349383866625246,0.2692307692307693,0.0
0.5416666666666666,0.782608695652174,0.0,0.28683856270063157,0.8076923076923078,0.0
0.29166666666666663,0.4347826086956522,0.9818181818181818,0.347209278243761,0.5000000000000001,0.0
