componente,autovalor,varianza_explicada,varianza_acumulada
CP1,2.7997488613265116,0.46657700030200555,0.46657700030200555
CP2,1.120503376125323,0.18673142840859006,0.6533084287105956
CP3,0.9641630661256219,0.16067737982103739,0.8139858085316329
CP4,0.6801350197750411,0.11334422230165012,0.927330030833283
CP5,0.25258744431960156,0.04209359407641723,0.9694236249097002
CP6,0.18347704941981247,0.03057637509029971,1.0
