,grid,grid,grid,grid,grid,grid,positionOrder,positionOrder,positionOrder,positionOrder,positionOrder,positionOrder,laps_pct,laps_pct,laps_pct,laps_pct,laps_pct,laps_pct,driver_age,driver_age,driver_age,driver_age,driver_age,driver_age,driver_championship_position,driver_championship_position,driver_championship_position,driver_championship_position,driver_championship_position,driver_championship_position,driver_championship_wins,driver_championship_wins,driver_championship_wins,driver_championship_wins,driver_championship_wins,driver_championship_wins,posiciones_ganadas,posiciones_ganadas,posiciones_ganadas,posiciones_ganadas,posiciones_ganadas,posiciones_ganadas
,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max
cluster_sin_pca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1442,11.966,12.0,5.939,0,24,1442,19.384,20.0,2.265,7,24,1442,0.234,0.197,0.211,0.0,0.75,1442,28.147,27.546,5.016,17.454,43.721,1442,13.205,13.0,5.989,1.0,27.0,1442,0.206,0.0,0.757,0.0,11.0,1442,-7.418,-7.0,6.06,-24,8
1,4154,5.844,5.0,3.782,0,24,4154,5.423,5.0,3.536,1,21,4154,0.993,1.0,0.038,0.511,1.0,4154,29.032,28.705,4.902,17.492,43.682,4154,5.744,5.0,3.513,1.0,19.0,4154,1.08,0.0,2.15,0.0,19.0,4154,0.421,0.0,4.386,-20,21
2,4251,15.378,16.0,4.131,0,24,4251,13.535,13.0,3.577,3,24,4251,0.958,0.983,0.078,0.507,1.0,4251,27.568,26.453,5.025,17.53,43.893,4251,15.769,16.0,4.289,2.0,27.0,4251,0.015,0.0,0.136,0.0,2.0,4251,1.843,2.0,4.833,-20,19
