largada_grupo,Fuera del top 10,Ganador,Podio,Top 10
Fondo,75.97049689440993,0.17468944099378883,1.125776397515528,22.729037267080745
Pit lane / no largó,85.71428571428571,0.0,0.0,14.285714285714285
Pole,11.949685534591195,50.943396226415096,27.463312368972748,9.643605870020965
Top 10,35.5340622371741,1.1354079058031958,6.602186711522287,56.72834314550042
Top 5,18.61198738170347,10.46267087276551,31.861198738170348,39.06414300736068
