,CP1,CP2,CP3,CP4,CP5,CP6
grid,0.81554593636144,0.26866273541540936,0.12311928531584498,0.34629216260450313,0.35711979827527285,-0.014016389713852473
positionOrder,0.8719107220749008,-0.34256147162237416,-0.0432808721539781,0.05882291788695858,-0.12152638805166048,0.32003713511095555
laps_pct,-0.47660921389357563,0.8072986045586689,0.21616363545290443,0.15913106392720477,-0.10498900213917804,0.19530229505996846
driver_age,-0.18422266196443904,-0.3430111866343852,0.9185375141054039,0.06750292611362226,-0.01169314185382007,-0.010162025313662242
driver_championship_position,0.8700663851237833,0.239650919266258,0.08949168077958491,0.19717273048209474,-0.3101381567423317,-0.20635617036022508
driver_championship_wins,-0.5969049616729577,-0.32273065348751645,-0.22064639306959258,0.6985701081772189,-0.05421378609193509,-0.005263091227501899
