,grid,positionOrder,laps_pct,driver_age,driver_championship_position,driver_championship_wins
grid,1.0,0.5861456431877772,-0.130303635846634,-0.10995310120357096,0.7453214190976206,-0.37801390069937624
positionOrder,0.5861456431877772,1.0,-0.6167791567455653,-0.08073061072356731,0.6558311655765721,-0.35431072108880673
laps_pct,-0.130303635846634,-0.6167791567455653,1.0,0.0194269803374877,-0.1782131263618597,0.09207339920138125
driver_age,-0.10995310120357096,-0.08073061072356731,0.0194269803374877,1.0,-0.14123973064042822,0.06582785021580335
driver_championship_position,0.7453214190976206,0.6558311655765721,-0.1782131263618597,-0.14123973064042822,1.0,-0.46074963313007095
driver_championship_wins,-0.37801390069937624,-0.35431072108880673,0.09207339920138125,0.06582785021580335,-0.46074963313007095,1.0
