componente,varianza_explicada,varianza_acumulada
CP1,0.46186327170483943,0.46186327170483943
CP2,0.18741313982138275,0.6492764115262222
CP3,0.16075405265951317,0.8100304641857353
CP4,0.11388321315248824,0.9239136773382236
CP5,0.04536931996992438,0.969282997308148
CP6,0.03071700269185213,1.0000000000000002
