CP1,CP2,CP3
-1.4618532318760085,0.6720099046517589,-0.9248672798041402
0.7250223962730137,0.3250680551919262,1.6241376971872428
1.5599847979067905,0.6158037546600178,0.40039282564926
1.419122678033178,-2.708912416328191,-1.0026993263996424
-0.0645522276376772,0.1486051611632175,-0.01096249505522471
-1.9191803321169596,-0.2499909482832776,1.5505764083362774
-1.2239483838919,0.5791784352648119,-0.14104712019608479
-0.6365225655246429,0.6534144797531632,-0.25609700638674804
1.1677225922644383,0.3971355462650338,0.7423643809303374
2.323424827162894,0.9472713677954532,0.12751472017661322
-0.35766225545455704,0.698545040620809,-1.0955288457270724
1.5863087044010604,1.0541617460696369,-1.3187474482809785
0.42395936510379867,0.10381955305849604,1.4328069360330762
0.6542282151440616,0.3597339452600009,1.5942299137465508
0.3918023273172577,1.0701141445371636,-1.1025517296586753
-0.037606562090518,0.8168247723691241,-0.2858703310348785
-2.1840126696084394,-0.2501947987621499,0.26368839312419723
-0.750321336595478,0.533121067670821,-0.9591985617193696
0.8784457356271198,1.0960610199963086,-0.5706229795638633
0.8647507620813346,0.6245496645954957,1.009872109186241
-2.485271736455381,-0.22007748842305144,0.6052027097409671
-1.4360236891338942,-0.8348570697872206,2.00770176669823
2.81220429439071,-2.005351331682228,-1.0472991184615372
-0.030349236080645967,0.4430651507405581,-0.18374134910207016
0.9288384348909496,-2.8966004676779984,-1.8151436982991676
-0.307927541045862,0.7994650498017669,-0.900811484477986
-1.1387967146988471,0.7809318913836182,-0.8030612227065852
0.7583095561342181,0.9424261675685428,-0.6756874283768579
0.5520142883052065,0.3087718887106548,1.561562246991052
-1.4680843340775551,0.16364760257179586,0.5430052443328327
0.988249241415868,0.5642579525325914,0.2848957112143727
-2.950207082472327,-0.5308077394775019,-0.34092705753264646
1.344984679064452,1.2921461441125597,-0.951747136970638
3.182644849127488,-2.073611830708078,-0.8536593405386214
-0.46408432714574266,0.6499854461901143,-0.16112960692169373
-1.2142270553329917,0.3718292110205633,0.4037724232055325
2.7680470562045607,-2.6631024940261896,-0.15175123897870726
1.1532523235854406,-1.3110212841106659,0.06822190306083555
-1.5468869545912258,0.7634731051455127,-0.8409590569376358
1.3587395830439404,0.7817910036642962,0.4688740975244191
-1.362404310973151,0.05174171002168224,0.3970528185815795
2.587841013097983,1.0454252816364482,-0.591531729309859
1.6341445390187506,1.0345836747480692,-0.944891972208089
-2.150706682304139,0.0558285858559101,0.7002804913965766
1.752771224083137,1.0187669916452158,-0.03610332320836326
-0.16026407306985652,0.8047835467973128,-0.7089865303451128
1.5498667699423718,-2.115484685175893,-0.70420207655351
0.48047550003434264,-1.056203513618292,0.9598173458039101
1.1050972379469726,0.28157771572997675,1.3147383498219996
-0.45120578531861566,0.31465565121651246,0.4194391628473582
-1.978595612346953,0.30976913212927737,-0.1905975716876288
0.9975199615566688,0.8204729824396255,0.1431045373709345
1.2313174202986812,0.6433597527846214,-0.314748733290058
0.9900829213616279,1.3908686380131814,-0.7921872817474698
0.5696092134936628,0.7779765798177876,-0.32824463278226584
2.1675613733070813,-0.32187898214820354,-1.0879034244186843
1.1632281543916623,-2.606138335622258,-2.41066639015386
2.7229263546978966,-2.610842393948822,0.9247686664644316
1.7931925631284784,0.42127696686166505,1.9068705356092734
2.031351024821114,1.6260525249705322,-1.0127251564828414
0.903621506433962,0.6125815875160457,0.7218274680958868
-0.3300587464299823,-3.5077048277326064,-1.2131276523893062
0.9442028761188882,0.9298227786884916,0.16149074866500163
-1.5518345270473826,0.12302505619414966,0.5447372242343225
