,CP1,CP2,CP3,CP4,CP5,CP6
grid,0.23756244122572073,0.06441717797449752,0.01572177876258687,0.1763153762042239,0.5049124696744655,0.0010707561585049945
positionOrder,0.27153446431226735,0.10472825369422342,0.0019428600412338664,0.005087424655593138,0.05846950561087994,0.558237491685802
laps_pct,0.08113454242486098,0.5816412969464191,0.04846350055699819,0.037231865394873755,0.04363910724015722,0.20788968743669023
driver_age,0.012121797654802603,0.10500340888144695,0.8750710273618871,0.006699618313152414,0.0005413157680179593,0.0005628320206917448
driver_championship_position,0.2703869354066622,0.05125603753534694,0.008306438205455652,0.05716083500394319,0.3808014944156383,0.23208825943295336
driver_championship_wins,0.12725981897568608,0.09295382496806522,0.05049439507183732,0.7175048804282131,0.01163610729084054,0.00015097326535716733
