,count,mean,std,min,25%,50%,75%,max
grid,9760.0,10.953176229508196,6.11969954879869,1.0,6.0,11.0,16.0,24.0
positionOrder,9760.0,10.927459016393442,6.140536060584942,1.0,6.0,11.0,16.0,24.0
laps_pct,9760.0,0.8679094944157859,0.27894898150790953,0.0,0.9642857142857144,0.9859154929577464,1.0,1.0
driver_age,9760.0,28.261444833428712,5.009443952810443,17.453798767967147,24.36892539356605,27.49760438056126,31.540725530458587,43.893223819301845
driver_championship_position,9760.0,11.142008196721312,6.3705888068539895,1.0,6.0,11.0,16.0,27.0
driver_championship_wins,9760.0,0.49528688524590164,1.5215695887454341,0.0,0.0,0.0,0.0,19.0
