PC1,PC2
4.812547530256102,-0.9872847488437084
3.250334123565949,-0.8112946116328079
2.492973288352558,-0.6419889302027356
1.5141767595801572,-0.5997007743163695
2.334691724205479,-0.39634598133193255
1.061012922650599,-0.44496227586733283
-0.217535326003663,-0.36905600782444764
-0.6732104051992442,-0.23165202196957269
0.07482236976889589,0.047669816913898766
-1.0789215921194089,0.031041644220962894
-1.3870651686295081,-0.22267175837960823
-0.904247407908801,-0.26602181558515553
-0.8225785009504891,0.03020388307816979
-1.0746754705821107,-0.03203089111904814
-1.0396020223742535,-0.010030327569355485
-1.5048004429247968,-0.2162374967058429
-1.383574582840076,-0.19158073736772052
-1.3330774247462187,-0.1562419484683163
-1.6239457443474319,-0.29345310467084096
-1.0508917278072967,-0.1121242073357343
-1.4919182029147113,-0.20708916822640266
-1.1681922816094958,0.01993123363606608
4.357065093018666,-0.981224151448145
3.5522514063230224,-0.8554264105024623
2.6866844948112947,-0.5543421766476899
1.7387161357990812,-0.4959638753935251
1.8426752894486482,-0.35994732595354495
1.5003475231800711,-0.3498758174067997
0.10781558089327992,-0.21159092028985776
-0.4358179374086536,-0.11679993525530197
-0.8439068992121443,-0.052119922339472796
-1.0366675723595078,-0.021594014065101946
-1.0041910122475692,-0.05443739875851558
-1.2486679347331313,-0.11008245447938794
-1.1671375513942677,-0.05905730693435385
-1.2407732942804361,-0.08646395261746923
-1.4312351386427509,-0.18268364447966912
-1.3834004066601673,-0.14964728733706034
-1.369437246085707,-0.08397044045483174
-1.298616056400433,-0.09175221564798883
0.16144099961310832,0.05673360108483244
-1.5911696809422122,-0.2622885156330894
-0.7487684846017363,-0.11609830940512433
-1.5655539458008796,-0.234495813909518
5.205963517003523,-1.0247180635305313
4.342490378792026,-0.8499756430901606
2.891397245818811,-0.5587442563495528
2.3297431295349593,-0.5321354449078148
1.2115022437343954,-0.3733513085202097
0.6368355001874548,-0.2942466821312838
0.00010230615050210723,-0.2465147730336177
-0.4193983111714058,-0.08897835341654234
-0.7688278214590437,-0.07324301999540095
-1.0056343471145015,-0.00590765541947208
-1.07927009000067,-0.03331430110258743
-1.2796544507481153,-0.12572841958542494
-0.40127615247674653,0.0917860756659748
-1.1346142820523066,-0.09186029808817459
-1.221262652201563,-0.06677112882410205
-1.419031296067757,-0.156923209089737
-1.4616338137089189,-0.1686434961272225
-1.1058123738838284,-0.09711910931152512
-1.4227059480112174,-0.12933863561967388
-1.289927359037358,-0.06744702361299076
-1.201260579714762,-0.03255196133795027
-1.572860745304759,-0.22842820231295313
5.23699674224853,-1.0090317048849016
4.373523604037032,-0.8342892844445309
2.23670282984825,-0.594305995880581
1.7551357620363286,-0.46814229355476544
1.1494357932443824,-0.40472402581146943
0.4506361487174164,-0.38836483400506316
-0.030930919094504405,-0.26220113167924763
-0.4193983111714058,-0.08897835341654234
-0.4324703144828038,-0.021371063433477888
-1.2871924025351853,-0.14903846169045243
-1.0374832657082018,-0.07207733586445678
-0.8238153248450552,-0.13148055722409685
-1.4149999554586714,-0.18419932280290888
-1.051328742318598,-0.12818810174342263
-0.8875039100352684,0.07689906105632799
-0.8600353206421603,-0.0766223121770915
-0.4274689446221037,-0.03593118435573911
-1.5705778004851394,-0.26003657835430033
-1.4292399948718892,-0.17959229197831766
-1.2568689640136328,-0.08346164695670519
-1.5923246781536098,-0.24808063256672747
-1.5418275200597527,-0.21274184366732324
5.024772136252316,-0.998158226864305
3.3124005740559612,-0.779921894341548
3.3288590850743276,-0.6329870273379339
2.148551748783751,-0.5055756082415884
1.6179308577449054,-0.4632804381542206
0.6368355001874548,-0.2942466821312838
0.15526843237553423,-0.1680829798054682
-0.512497986906425,-0.13603742935343205
-0.7818404487221317,-0.020747205048213008
-0.9435678966244887,0.02546506187178771
-1.1128739335600097,-0.051223697306502586
0.06582067572376227,0.08179840732118454
-1.1980789688423337,-0.07466427138147355
-1.11654858550347,-0.023639123836439457
-0.9649470951303363,-0.11441506248733935
-1.380646172751953,-0.14726546138175473
-1.2133229131819496,-0.04311362630326601
-1.4338555109311304,-0.1752532287010547
-1.3363702710688325,-0.1964810426525097
-1.5570289600163272,-0.23029273393267713
4.4321441707717675,-1.0023472491040732
3.250334123565949,-0.8112946116328079
2.360835730828275,-0.5315605612980614
1.5999696358112965,-0.546574086782915
0.8007635160454327,-0.5712063593168335
0.395876497731283,-0.42580516289288783
-0.08569057008063763,-0.2996414605670723
0.7658576197896914,-0.08060030893700543
-0.10912543476965197,0.08299670807563309
-0.914496459040421,0.03945489185451573
-0.7555881691634078,-0.057388658392949043
-1.0544611453088784,-0.021426011108279935
-0.9802375614738941,0.035666748033319096
-0.2966531195891611,-0.09345008325434276
-1.3531291257449052,-0.14859089475210113
-0.7720429847511513,0.04091974352198502
-1.3607438127698546,-0.13714899590602578
-1.4869924451713539,-0.19890381552669203
-0.7510938098135255,-0.08411912575507094
-1.01844075915843,-0.19917252499323201
5.205963517003523,-1.0247180635305313
4.218357477812001,-0.9127210776726802
1.9884370278881984,-0.7197968650456201
1.8562400943156059,-0.5942570211050695
1.180469018489389,-0.38903766716583954
0.9501644384629462,-0.43123488770218443
0.06216875664051491,-0.21514205574235792
-0.7844902146076032,-0.283282268760666
-0.9009653789833267,0.03718534890927322
-0.8504682208894696,0.07252413780867739
-1.0915848602233797,-0.14792467804602838
-0.3920991139181699,-0.030595946264972834
-1.1371728126716774,-0.08327105369142307
-1.3333393960466575,-0.15659881245178922
-1.1766658409217492,-0.06165670440048235
-0.9442292131358918,0.06411634556182849
-1.2992939241161368,-0.10630947333739227
-0.5651338829162439,0.01993925624664522
-0.9390859368148153,0.07702500118724254
-1.4526596789613082,-0.18710994956387442
5.205963517003523,-1.0247180635305313
4.4355900545270455,-0.802916567153271
2.2440096293521288,-0.600373607477146
1.663842113530799,-0.4752445644597657
1.164049392252141,-0.4168592490045992
0.620415873950207,-0.32206826397004346
0.12082820815636786,-0.26408673523704573
-0.07573400469128688,-0.04317400845118416
-0.6300813214712595,-0.022632808606011107
-0.3309082504477143,0.13738927601409467
-0.3659162225142556,-0.04669724106624701
-1.1145658081379526,-0.05110219973663779
-0.6706526632966732,-0.05319672552405655
-1.3169208585559529,-0.10524096036424019
-1.2445033019504577,-0.08810500625453063
-1.2615733666210034,-0.03811451801793192
-1.2128822357566353,-0.04273253415041711
-1.3650040553700644,-0.12933347896355193
-1.4076065730112264,-0.14105376600103742
