grid,positionOrder,points,laps,quali_position,driver_season_points,constructor_race_points,total_pit_stops
-0.8333333333333334,-0.9166666666666666,5.0,0.11627906976744186,-2.625,0.4375,2.8,0.0
-0.5,-0.8333333333333334,4.0,0.11627906976744186,-2.125,0.3125,1.6,0.0
-0.3333333333333333,-0.75,3.0,0.11627906976744186,-1.875,0.1875,1.8,0.0
0.0,-0.6666666666666666,2.5,0.11627906976744186,-1.25,0.125,1.0,0.0
-0.6666666666666666,-0.5833333333333334,2.0,0.11627906976744186,-2.375,0.0625,2.8,0.0
0.16666666666666666,-0.5,1.5,0.09302325581395349,-1.0,0.0,1.8,0.0
0.5,-0.4166666666666667,1.0,0.046511627906976744,-0.5,-0.0625,0.4,0.0
0.3333333333333333,-0.3333333333333333,0.5,0.0,-0.75,-0.125,0.2,0.0
-0.75,-0.25,0.0,-0.13953488372093023,-2.5,-0.1875,1.6,0.0
0.5833333333333334,-0.16666666666666666,0.0,-0.23255813953488372,-1.625,-0.1875,0.0,0.0
0.6666666666666666,-0.08333333333333333,0.0,-0.4883720930232558,-0.25,-0.1875,0.0,0.0
0.75,0.0,0.0,-0.5348837209302325,-0.125,-0.1875,1.0,0.0
-0.5833333333333334,0.08333333333333333,0.0,-0.5581395348837209,-2.25,-0.1875,0.2,0.0
-0.25,0.16666666666666666,0.0,-0.6511627906976745,-1.75,-0.1875,0.0,0.0
-0.4166666666666667,0.25,0.0,-0.7906976744186046,-2.0,-0.1875,0.0,0.0
0.9166666666666666,0.3333333333333333,0.0,-1.0465116279069768,-0.375,-0.1875,0.0,0.0
0.25,0.4166666666666667,0.0,-1.2325581395348837,-0.875,-0.1875,0.0,0.0
0.08333333333333333,0.5,0.0,-1.2325581395348837,-1.125,-0.1875,0.0,0.0
0.8333333333333334,0.5833333333333334,0.0,-1.2325581395348837,0.0,-0.1875,0.0,0.0
-0.16666666666666666,0.6666666666666666,0.0,-1.2325581395348837,-1.5,-0.1875,0.4,0.0
0.4166666666666667,0.75,0.0,-1.2325581395348837,-0.625,-0.1875,0.0,0.0
-0.08333333333333333,0.8333333333333334,0.0,0.11627906976744186,-1.375,-0.1875,0.0,0.0
-0.75,-0.9166666666666666,5.0,0.06976744186046512,-2.5,0.5,2.0,0.0
-0.5833333333333334,-0.8333333333333334,4.0,0.06976744186046512,-2.0,0.3125,2.2,0.0
-0.25,-0.75,3.0,0.06976744186046512,-2.375,0.4375,2.0,0.0
-0.6666666666666666,-0.6666666666666666,2.5,0.06976744186046512,-2.125,0.125,1.0,0.0
-0.16666666666666666,-0.5833333333333334,2.0,0.06976744186046512,-2.25,0.6875,2.0,0.0
-0.5,-0.5,1.5,0.06976744186046512,-1.875,0.5,2.2,0.0
-0.4166666666666667,-0.4166666666666667,1.0,0.06976744186046512,-1.75,-0.0625,0.4,0.0
-0.3333333333333333,-0.3333333333333333,0.5,0.06976744186046512,-1.625,0.1875,0.2,0.0
0.08333333333333333,-0.25,0.0,0.06976744186046512,-1.25,-0.1875,0.4,0.0
0.0,-0.16666666666666666,0.0,0.06976744186046512,-1.375,-0.1875,0.0,0.0
0.16666666666666666,-0.08333333333333333,0.0,0.06976744186046512,-1.125,-0.1875,0.2,0.0
0.5,0.0,0.0,0.046511627906976744,-0.625,-0.1875,0.0,0.0
0.25,0.08333333333333333,0.0,0.046511627906976744,-1.0,-0.1875,0.0,0.0
0.4166666666666667,0.16666666666666666,0.0,0.046511627906976744,-0.75,0.1875,0.0,0.0
0.8333333333333334,0.25,0.0,0.046511627906976744,0.0,-0.1875,0.0,0.0
0.6666666666666666,0.3333333333333333,0.0,0.023255813953488372,-0.25,-0.1875,0.0,0.0
0.9166666666666666,0.4166666666666667,0.0,0.023255813953488372,-0.5,0.0,0.0,0.0
0.3333333333333333,0.5,0.0,-0.32558139534883723,-0.875,-0.1875,0.0,0.0
-0.8333333333333334,0.5833333333333334,0.0,-0.5348837209302325,-2.625,-0.1875,2.0,0.0
0.75,0.6666666666666666,0.0,-1.1162790697674418,-0.125,-0.1875,0.0,0.0
-0.08333333333333333,0.75,0.0,-1.2093023255813953,-1.5,-0.1875,1.0,0.0
0.5833333333333334,0.8333333333333334,0.0,-1.2325581395348837,-0.375,-0.0625,0.0,0.0
-0.75,-0.9166666666666666,5.0,0.09302325581395349,-2.5,0.4375,3.6,0.0
-0.5833333333333334,-0.8333333333333334,4.0,0.09302325581395349,-2.25,1.0,3.6,0.0
-0.8333333333333334,-0.75,3.0,0.09302325581395349,-2.625,0.6875,2.2,0.0
-0.4166666666666667,-0.6666666666666666,2.5,0.09302325581395349,-2.0,0.8125,2.2,0.0
-0.5,-0.5833333333333334,2.0,0.09302325581395349,-2.125,0.6875,0.8,0.0
-0.3333333333333333,-0.5,1.5,0.09302325581395349,-1.875,0.3125,0.6,0.0
0.0,-0.4166666666666667,1.0,0.09302325581395349,-1.375,0.0625,0.4,0.0
-0.25,-0.3333333333333333,0.5,0.09302325581395349,-1.75,0.25,0.2,0.0
0.16666666666666666,-0.25,0.0,0.09302325581395349,-1.125,-0.1875,0.6,0.0
-0.08333333333333333,-0.16666666666666666,0.0,0.09302325581395349,-1.5,0.1875,0.0,0.0
0.08333333333333333,-0.08333333333333333,0.0,0.09302325581395349,-1.25,-0.1875,0.0,0.0
0.5833333333333334,0.0,0.0,0.06976744186046512,-0.5,-0.1875,0.0,0.0
-0.6666666666666666,0.08333333333333333,0.0,0.06976744186046512,-2.375,0.6875,0.8,0.0
0.4166666666666667,0.16666666666666666,0.0,0.06976744186046512,-0.75,0.0,0.2,0.0
0.3333333333333333,0.25,0.0,0.06976744186046512,-0.875,-0.0625,0.0,0.0
0.8333333333333334,0.3333333333333333,0.0,0.06976744186046512,-0.125,-0.1875,0.0,0.0
0.9166666666666666,0.4166666666666667,0.0,0.06976744186046512,0.0,-0.1875,0.0,0.0
0.5,0.5,0.0,0.06976744186046512,-0.625,-0.1875,0.4,0.0
0.75,0.5833333333333334,0.0,0.06976744186046512,-0.25,-0.1875,0.0,0.0
0.25,0.6666666666666666,0.0,-0.3023255813953488,-1.0,-0.1875,0.0,0.0
-0.16666666666666666,0.75,0.0,-0.7906976744186046,-1.625,-0.1875,0.0,0.0
0.6666666666666666,0.8333333333333334,0.0,-1.2325581395348837,-0.375,-0.1875,0.0,0.0
-0.8333333333333334,-0.9166666666666666,5.0,0.3023255813953488,-2.625,1.625,3.6,0.0
-0.6666666666666666,-0.8333333333333334,4.0,0.3023255813953488,-2.375,0.9375,3.6,0.0
-0.5,-0.75,3.0,0.3023255813953488,-2.125,1.0625,1.2,0.0
-0.5833333333333334,-0.6666666666666666,2.5,0.3023255813953488,-2.25,1.0,1.0,0.0
-0.3333333333333333,-0.5833333333333334,2.0,0.3023255813953488,-1.875,0.3125,0.8,0.0
0.16666666666666666,-0.5,1.5,0.3023255813953488,-1.125,0.0,0.6,0.0
0.08333333333333333,-0.4166666666666667,1.0,0.3023255813953488,-1.25,0.125,0.4,0.0
-0.25,-0.3333333333333333,0.5,0.3023255813953488,-1.75,0.375,0.2,0.0
-0.16666666666666666,-0.25,0.0,0.3023255813953488,-1.625,0.8125,1.0,0.0
0.6666666666666666,-0.16666666666666666,0.0,0.27906976744186046,-0.375,-0.1875,0.0,0.0
0.25,-0.08333333333333333,0.0,0.27906976744186046,-1.0,-0.1875,0.2,0.0
0.5,0.0,0.0,0.27906976744186046,-0.625,-0.1875,0.8,0.0
0.9166666666666666,0.08333333333333333,0.0,0.27906976744186046,0.0,-0.1875,0.0,0.0
0.3333333333333333,0.16666666666666666,0.0,-0.27906976744186046,-0.875,0.25,0.4,0.0
-0.75,0.25,0.0,-0.4418604651162791,-2.5,0.1875,0.0,0.0
0.0,0.3333333333333333,0.0,-0.4418604651162791,-1.375,-0.1875,0.6,0.0
-0.4166666666666667,0.4166666666666667,0.0,-0.7441860465116279,-2.0,0.6875,1.2,0.0
0.8333333333333334,0.5,0.0,-1.0465116279069768,-0.125,-0.1875,0.0,0.0
0.4166666666666667,0.5833333333333334,0.0,-1.069767441860465,-0.75,-0.0625,0.0,0.0
-0.08333333333333333,0.6666666666666666,0.0,-1.0930232558139534,-1.5,-0.1875,0.0,0.0
0.75,0.75,0.0,-1.2325581395348837,-0.25,-0.1875,0.0,0.0
0.5833333333333334,0.8333333333333334,0.0,-1.2325581395348837,-0.5,-0.1875,0.0,0.0
-0.8333333333333334,-0.9166666666666666,5.0,0.11627906976744186,-2.625,1.5625,3.2,0.0
-0.6666666666666666,-0.8333333333333334,4.0,0.11627906976744186,-2.375,1.5625,1.6,0.0
-0.5833333333333334,-0.75,3.0,0.11627906976744186,-2.25,2.0,3.2,0.0
-0.5,-0.6666666666666666,2.5,0.11627906976744186,-2.125,1.3125,1.8,0.0
-0.16666666666666666,-0.5833333333333334,2.0,0.11627906976744186,-1.625,1.0625,1.8,0.0
-0.3333333333333333,-0.5,1.5,0.11627906976744186,-1.875,0.375,0.6,0.0
-0.4166666666666667,-0.4166666666666667,1.0,0.11627906976744186,-2.0,0.4375,0.4,0.0
0.0,-0.3333333333333333,0.5,0.11627906976744186,-1.375,0.3125,0.2,0.0
