PC1,PC2,Cluster
4.812547530256102,-0.9872847488437084,1
3.250334123565949,-0.8112946116328079,1
2.492973288352558,-0.6419889302027356,0
1.5141767595801572,-0.5997007743163695,0
2.334691724205479,-0.3963459813319325,0
1.061012922650599,-0.4449622758673328,0
-0.217535326003663,-0.3690560078244476,0
-0.6732104051992442,-0.2316520219695726,0
0.0748223697688958,0.0476698169138987,0
-1.0789215921194089,0.0310416442209628,0
-1.387065168629508,-0.2226717583796082,0
-0.904247407908801,-0.2660218155851555,0
-0.8225785009504891,0.0302038830781697,0
-1.0746754705821109,-0.0320308911190481,0
-1.0396020223742537,-0.0100303275693554,0
-1.5048004429247968,-0.2162374967058429,0
-1.383574582840076,-0.1915807373677205,0
-1.3330774247462187,-0.1562419484683163,0
-1.623945744347432,-0.2934531046708409,0
-1.050891727807297,-0.1121242073357343,0
-1.4919182029147111,-0.2070891682264026,0
-1.1681922816094958,0.019931233636066,0
4.357065093018666,-0.981224151448145,1
3.5522514063230224,-0.8554264105024623,1
2.6866844948112947,-0.5543421766476899,0
1.7387161357990812,-0.4959638753935251,0
1.842675289448648,-0.3599473259535449,0
1.5003475231800711,-0.3498758174067997,0
0.1078155808932799,-0.2115909202898577,0
-0.4358179374086536,-0.1167999352553019,0
-0.8439068992121443,-0.0521199223394727,0
-1.0366675723595078,-0.0215940140651019,0
-1.0041910122475692,-0.0544373987585155,0
-1.248667934733131,-0.1100824544793879,0
-1.1671375513942677,-0.0590573069343538,0
-1.240773294280436,-0.0864639526174692,0
-1.4312351386427509,-0.1826836444796691,0
-1.3834004066601673,-0.1496472873370603,0
-1.369437246085707,-0.0839704404548317,0
-1.298616056400433,-0.0917522156479888,0
0.1614409996131083,0.0567336010848324,0
-1.5911696809422122,-0.2622885156330894,0
-0.7487684846017363,-0.1160983094051243,0
-1.5655539458008796,-0.234495813909518,0
5.205963517003523,-1.0247180635305313,1
4.342490378792026,-0.8499756430901606,1
2.891397245818811,-0.5587442563495528,1
2.3297431295349593,-0.5321354449078148,0
1.2115022437343954,-0.3733513085202097,0
0.6368355001874548,-0.2942466821312838,0
0.0001023061505021,-0.2465147730336177,0
-0.4193983111714058,-0.0889783534165423,0
-0.7688278214590437,-0.0732430199954009,0
-1.0056343471145015,-0.005907655419472,0
-1.07927009000067,-0.0333143011025874,0
-1.2796544507481151,-0.1257284195854249,0
-0.4012761524767465,0.0917860756659748,0
-1.1346142820523066,-0.0918602980881745,0
-1.221262652201563,-0.066771128824102,0
-1.419031296067757,-0.156923209089737,0
-1.4616338137089189,-0.1686434961272225,0
-1.1058123738838284,-0.0971191093115251,0
-1.4227059480112174,-0.1293386356196738,0
-1.289927359037358,-0.0674470236129907,0
-1.201260579714762,-0.0325519613379502,0
-1.572860745304759,-0.2284282023129531,0
5.23699674224853,-1.0090317048849016,1
4.373523604037032,-0.8342892844445309,1
2.23670282984825,-0.594305995880581,0
1.7551357620363286,-0.4681422935547654,0
1.1494357932443824,-0.4047240258114694,0
0.4506361487174164,-0.3883648340050631,0
-0.0309309190945044,-0.2622011316792476,0
-0.4193983111714058,-0.0889783534165423,0
-0.4324703144828038,-0.0213710634334778,0
-1.2871924025351853,-0.1490384616904524,0
-1.0374832657082018,-0.0720773358644567,0
-0.8238153248450552,-0.1314805572240968,0
-1.4149999554586714,-0.1841993228029088,0
-1.051328742318598,-0.1281881017434226,0
-0.8875039100352684,0.0768990610563279,0
-0.8600353206421603,-0.0766223121770915,0
-0.4274689446221037,-0.0359311843557391,0
-1.5705778004851394,-0.2600365783543003,0
-1.4292399948718892,-0.1795922919783176,0
-1.2568689640136328,-0.0834616469567051,0
-1.5923246781536098,-0.2480806325667274,0
-1.5418275200597529,-0.2127418436673232,0
5.024772136252316,-0.998158226864305,1
3.3124005740559612,-0.779921894341548,1
3.3288590850743276,-0.6329870273379339,1
2.148551748783751,-0.5055756082415884,0
1.6179308577449054,-0.4632804381542206,0
0.6368355001874548,-0.2942466821312838,0
0.1552684323755342,-0.1680829798054682,0
-0.512497986906425,-0.136037429353432,0
-0.7818404487221317,-0.020747205048213,0
-0.9435678966244888,0.0254650618717877,0
-1.1128739335600095,-0.0512236973065025,0
0.0658206757237622,0.0817984073211845,0
-1.1980789688423337,-0.0746642713814735,0
-1.11654858550347,-0.0236391238364394,0
-0.9649470951303364,-0.1144150624873393,0
-1.380646172751953,-0.1472654613817547,0
-1.2133229131819496,-0.043113626303266,0
-1.4338555109311304,-0.1752532287010547,0
-1.3363702710688323,-0.1964810426525097,0
-1.5570289600163272,-0.2302927339326771,0
4.4321441707717675,-1.0023472491040732,1
3.250334123565949,-0.8112946116328079,1
2.360835730828275,-0.5315605612980614,0
1.5999696358112965,-0.546574086782915,0
0.8007635160454327,-0.5712063593168335,0
0.395876497731283,-0.4258051628928878,0
-0.0856905700806376,-0.2996414605670723,0
0.7658576197896914,-0.0806003089370054,0
-0.1091254347696519,0.082996708075633,0
-0.914496459040421,0.0394548918545157,0
-0.7555881691634078,-0.057388658392949,0
-1.0544611453088784,-0.0214260111082799,0
-0.980237561473894,0.035666748033319,0
-0.2966531195891611,-0.0934500832543427,0
-1.3531291257449052,-0.1485908947521011,0
-0.7720429847511513,0.040919743521985,0
-1.3607438127698546,-0.1371489959060257,0
